PRINT_NUM;IE_NAME;IE_DETAIL_PICTURE;IP_PROP_THEME;PRODUCT_CODE;SERVICE_CODE
103;Чехол для iPhone 7(8) силикон прозрачный Принт 103 (Леопард оскал);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 103 (Леопард оскал).jpg;Животные;00-00033876;00-00038357
471;Чехол для iPhone 7(8) силикон прозрачный Принт 471 (Леопард);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 471 (Леопард).jpg;Животные;00-00033876;00-00038357
283;Чехол для iPhone 7(8) силикон прозрачный Принт 283 (Лиса арт);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 283 (Лиса арт).jpg;Животные;00-00033876;00-00038357
986;Чехол для iPhone 7(8) силикон прозрачный Принт 986 (Лиса рисунок);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 986 (Лиса рисунок).jpg;Животные;00-00033876;00-00038357
502;Чехол для iPhone 7(8) силикон прозрачный Принт 502 (Логотип Apple в стиле гуччи);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 502 (Логотип Apple в стиле гуччи).jpg;Мода, тренды, логотипы, бренды;00-00033876;00-00038357
712;Чехол для iPhone 7(8) силикон прозрачный Принт 712 (Логотип Apple);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 712 (Логотип Apple).jpg;Мода, тренды, логотипы, бренды;00-00033876;00-00038357
343;Чехол для iPhone 7(8) силикон прозрачный Принт 343 (Лондон);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 343 (Лондон).jpg;Арты;00-00033876;00-00038357
269;Чехол для iPhone 7(8) силикон прозрачный Принт 269 (Лошадь);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 269 (Лошадь).jpg;Животные;00-00033876;00-00038357
722;Чехол для iPhone 7(8) силикон прозрачный Принт 722 (Майкл Джексон);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 722 (Майкл Джексон).jpg;Арты;00-00033876;00-00038357
576;Чехол для iPhone 7(8) силикон прозрачный Принт 576 (Маки);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 576 (Маки).jpg;Текстуры, узоры, графика;00-00033876;00-00038357
879;Чехол для iPhone 7(8) силикон прозрачный Принт 879 (Маленький Йода);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 879 (Маленький Йода).jpg;Фильмы, сериалы, комиксы;00-00033876;00-00038357
920;Чехол для iPhone 7(8) силикон прозрачный Принт 920 (Мандалорец арт);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 920 (Мандалорец арт).jpg;Фильмы, сериалы, комиксы;00-00033876;00-00038357
702;Чехол для iPhone 7(8) силикон прозрачный Принт 702 (Мандалорец);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 702 (Мандалорец).jpg;Фильмы, сериалы, комиксы;00-00033876;00-00038357
336;Чехол для iPhone 7(8) силикон прозрачный Принт 336 (Мелкие цветы);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 336 (Мелкие цветы).jpg;Природа;00-00033876;00-00038357
237;Чехол для iPhone 7(8) силикон прозрачный Принт 237 (Мерлин Монро);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 237 (Мерлин Монро).jpg;Девушки;00-00033876;00-00038357
342;Чехол для iPhone 7(8) силикон прозрачный Принт 342 (Милая девушка);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 342 (Милая девушка).jpg;Девушки;00-00033876;00-00038357
461;Чехол для iPhone 7(8) силикон прозрачный Принт 461 (Милая панда);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 461 (Милая панда).jpg;Животные;00-00033876;00-00038357
605;Чехол для iPhone 7(8) силикон прозрачный Принт 605 (Минни Маус);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 605 (Минни Маус).jpg;Мультфильмы и детские;00-00033876;00-00038357
799;Чехол для iPhone 7(8) силикон прозрачный Принт 799 (Миньон);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 799 (Миньон).jpg;Мультфильмы и детские;00-00033876;00-00038357
419;Чехол для iPhone 7(8) силикон прозрачный Принт 419 (Морда льва);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 419 (Морда льва).jpg;Животные;00-00033876;00-00038357
381;Чехол для iPhone 7(8) силикон прозрачный Принт 381 (Мстители);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 381 (Мстители).jpg;Фильмы, сериалы, комиксы;00-00033876;00-00038357
559;Чехол для iPhone 7(8) силикон прозрачный Принт 559 (Неоновый Герб России);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 559 (Неоновый Герб России).jpg;Города, страны, гербы;00-00033876;00-00038357
518;Чехол для iPhone 7(8) силикон прозрачный Принт 518 (Огненный дракон);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 518 (Огненный дракон).jpg;Арты;00-00033876;00-00038357
122;Чехол для iPhone 7(8) силикон прозрачный Принт 122 (Однажды в Голливуде);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 122 (Однажды в Голливуде).jpg;Фильмы, сериалы, комиксы;00-00033876;00-00038357
957;Чехол для iPhone 7(8) силикон прозрачный Принт 957 (Одри Хепбёрн);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 957 (Одри Хепбёрн).jpg;Девушки;00-00033876;00-00038357
813;Чехол для iPhone 7(8) силикон прозрачный Принт 813 (Отдых на природе);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 813 (Отдых на природе).jpg;Природа;00-00033876;00-00038357
388;Чехол для iPhone 7(8) силикон прозрачный Принт 388 (Пазлы);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 388 (Пазлы).jpg;Текстуры, узоры, графика;00-00033876;00-00038357
520;Чехол для iPhone 7(8) силикон прозрачный Принт 520 (Панда арт);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 520 (Панда арт).jpg;Животные;00-00033876;00-00038357
954;Чехол для iPhone 7(8) силикон прозрачный Принт 954 (Пантера);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 954 (Пантера).jpg;Животные;00-00033876;00-00038357
290;Чехол для iPhone 7(8) силикон прозрачный Принт 290 (Париж);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 290 (Париж).jpg;Города, страны, гербы;00-00033876;00-00038357
784;Чехол для iPhone 7(8) силикон прозрачный Принт 784 (Пегас единорог);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 784 (Пегас единорог).jpg;Единороги;00-00033876;00-00038357
355;Чехол для iPhone 7(8) силикон прозрачный Принт 355 (Песок с ракушками);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 355 (Песок с ракушками).jpg;Природа;00-00033876;00-00038357
893;Чехол для iPhone 7(8) силикон прозрачный Принт 893 (Пляжный узор);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 893 (Пляжный узор).jpg;Текстуры, узоры, графика;00-00033876;00-00038357
796;Чехол для iPhone 7(8) силикон прозрачный Принт 796 (Пончики);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 796 (Пончики).jpg;Текстуры, узоры, графика;00-00033876;00-00038357
475;Чехол для iPhone 7(8) силикон прозрачный Принт 475 (Птичка в цветах);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 475 (Птичка в цветах).jpg;Природа;00-00033876;00-00038357
441;Чехол для iPhone 7(8) силикон прозрачный Принт 441 (ПФК ЦСКА логотип);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 441 (ПФК ЦСКА логотип).jpg;Спорт;00-00033876;00-00038357
470;Чехол для iPhone 7(8) силикон прозрачный Принт 470 (Разноцветные цветы);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 470 (Разноцветные цветы).jpg;Природа;00-00033876;00-00038357
554;Чехол для iPhone 7(8) силикон прозрачный Принт 554 (Разум вселенной);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 554 (Разум вселенной).jpg;Арты;00-00033876;00-00038357
931;Чехол для iPhone 7(8) силикон прозрачный Принт 931 (Рик и Морти);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 931 (Рик и Морти).jpg;Мультфильмы и детские;00-00033876;00-00038357
556;Чехол для iPhone 7(8) силикон прозрачный Принт 556 (Робин);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 556 (Робин).jpg;Фильмы, сериалы, комиксы;00-00033876;00-00038357
227;Чехол для iPhone 7(8) силикон прозрачный Принт 227 (Родина Мать зовет);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 227 (Родина Мать зовет).jpg;Города, страны, гербы;00-00033876;00-00038357
780;Чехол для iPhone 7(8) силикон прозрачный Принт 780 (Розовая бабочка в цветах);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 780 (Розовая бабочка в цветах).jpg;Природа;00-00033876;00-00038357
761;Чехол для iPhone 7(8) силикон прозрачный Принт 761 (Розовая роза рисунок);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 761 (Розовая роза рисунок).jpg;Арты;00-00033876;00-00038357
523;Чехол для iPhone 7(8) силикон прозрачный Принт 523 (Розовые лилии);/upload/products_pictures/silicone/iPhone 7(8)/pr/white/Принт 523 (Розовые лилии).jpg;Природа;00-00033876;00-00038357
